trial,animal_id,date,sess_id,result,hits,violations,temperror,hit_rate,error_rate,violation_rate,temp_error_rate,n_lpokes,n_cpokes,n_rpokes,trial_dur,valid_early_spoke,first_spoke,first_lpoke,first_rpoke,stage,sides,SMA_set,is_match,sa,sb,stimuli_on,settling_in_dur,legal_cbreak_dur,pre_dur,adj_pre_dur,stimulus_dur,delay_dur,post_dur,sb_extra_dur,viol_off_dur,pre_go_dur,inter_trial_dur,go_type,go_dur,give_type_set,give_type_imp,give_frac,give_delay_dur,give_light_dur,give_use,replay_on,timeouts,water_delivered,give_water_not_drunk,crash_hist,l_water_vol,r_water_vol,ab_l_prob,ab_r_prob,ab_beta,ab_tau,exp_del_tau,exp_del_min,exp_del_max,sound_pair
147,R610,2023-05-16,915119,1,1,0,0,0.58,0.42,0.6,0.0,1.0,1.0,1.0,10.490499999999884,False,r,,0.6540999999997439,5.0,r,cpoke,False,12.0,3.0,False,0.001,0.05,0.001,0.001,0.001,0.44371995538407033,0.001,0.0,0.44771995538407033,0.44771995538407033,5.000946573510735,none,0.2,light,light,1.0,0.001,0.0,True,True,,6.0,True,False,6.0,6.0,0.2819455926671698,0.7180544073328302,4.0,30.0,0.5,0.4,0.9,"12.0, 3.0"
148,R610,2023-05-16,915119,3,,1,,0.58,0.42,0.59,0.0,0.0,1.0,5.0,16.86869999999999,False,r,,0.31779999999980646,5.0,r,cpoke,False,3.0,12.0,False,0.001,0.05,0.001,0.001,0.001,0.41162233339201765,0.001,0.0,0.41562233339201765,0.41562233339201765,5.7968362835881395,none,0.2,light,light,1.0,0.001,0.0,False,True,0.1,0.0,True,False,6.0,6.0,0.3093614918136323,0.6906385081863676,4.0,30.0,0.5,0.4,0.9,"3.0, 12.0"
149,R610,2023-05-16,915119,3,,1,,0.58,0.42,0.59,0.0,0.0,1.0,2.0,8.158800000000156,False,r,,0.35140000000001237,5.0,r,cpoke,False,12.0,3.0,False,0.001,0.05,0.001,0.001,0.001,0.7971815504323847,0.001,0.0,0.8011815504323847,0.8011815504323847,5.709567926484555,none,0.2,light,light,1.0,0.001,0.0,False,True,0.1,0.0,True,False,6.0,6.0,0.3093614918136323,0.6906385081863676,4.0,30.0,0.5,0.4,0.9,"12.0, 3.0"
150,R610,2023-05-16,915119,3,,1,,0.58,0.42,0.6,0.0,2.0,3.0,0.0,10.831900000000132,False,l,0.6394000000000233,,5.0,r,cpoke,False,12.0,3.0,False,0.001,0.05,0.001,0.001,0.001,0.67129798506249,0.001,0.0,0.6752979850624901,0.6752979850624901,5.351605833762268,none,0.2,light,light,1.0,0.001,0.0,False,True,0.1,0.0,True,False,6.0,6.0,0.3093614918136323,0.6906385081863676,4.0,30.0,0.5,0.4,0.9,"12.0, 3.0"
151,R610,2023-05-16,915119,2,0,0,0,0.58,0.42,0.6,0.0,0.0,2.0,2.0,10.117099999999937,False,r,,0.43640000000004875,5.0,l,cpoke,True,3.0,3.0,False,0.001,0.05,0.001,0.001,0.001,0.4219064246879213,0.001,0.0,0.4259064246879213,0.4259064246879213,4.885456016165825,none,0.2,light,light,1.0,0.001,0.0,True,True,0.3,0.0,True,False,6.0,6.0,0.3093614918136323,0.6906385081863676,4.0,30.0,0.5,0.4,0.9,"3.0, 3.0"
152,R610,2023-05-16,915119,1,1,0,0,0.57,0.43,0.6,0.0,1.0,1.0,0.0,13.441200000000208,False,l,1.168800000000374,,5.0,l,cpoke,True,3.0,3.0,False,0.001,0.05,0.001,0.001,0.001,0.4717677259446707,0.001,0.0,0.4757677259446707,0.4757677259446707,7.257988499089696,none,0.2,light,light,1.0,0.001,0.0,True,True,,6.0,True,False,6.0,6.0,0.3648865060434,0.6351134939565999,4.0,30.0,0.5,0.4,0.9,"3.0, 3.0"
153,R610,2023-05-16,915119,3,,1,,0.58,0.42,0.59,0.0,0.0,1.0,4.0,23.743199999999888,False,r,,0.3227000000001681,5.0,l,cpoke,True,12.0,12.0,False,0.001,0.05,0.001,0.001,0.001,0.6073126852429984,0.001,0.0,0.6113126852429984,0.6113126852429984,5.868885355051673,none,0.2,light,light,1.0,0.001,0.0,False,True,0.1,0.0,True,False,6.0,6.0,0.34045319368485394,0.6595468063151461,4.0,30.0,0.5,0.4,0.9,"12.0, 12.0"
154,R610,2023-05-16,915119,3,,1,,0.58,0.42,0.59,0.0,0.0,1.0,2.0,21.329999999999927,False,r,,0.4349000000001979,5.0,l,cpoke,True,12.0,12.0,False,0.001,0.05,0.001,0.001,0.001,0.6085450732031491,0.001,0.0,0.6125450732031491,0.6125450732031491,5.759789724942789,none,0.2,light,light,1.0,0.001,0.0,False,True,0.1,0.0,True,False,6.0,6.0,0.34045319368485394,0.6595468063151461,4.0,30.0,0.5,0.4,0.9,"12.0, 12.0"
155,R610,2023-05-16,915119,3,,1,,0.58,0.42,0.6,0.0,0.0,1.0,4.0,9.258600000000115,False,r,,0.48900000000003274,5.0,l,cpoke,True,12.0,12.0,False,0.001,0.05,0.001,0.001,0.001,0.8036142714575604,0.001,0.0,0.8076142714575604,0.8076142714575604,7.0278001701458175,none,0.2,light,light,1.0,0.001,0.0,False,True,0.1,0.0,True,False,6.0,6.0,0.34045319368485394,0.6595468063151461,4.0,30.0,0.5,0.4,0.9,"12.0, 12.0"
156,R610,2023-05-16,915119,3,,1,,0.58,0.42,0.6,0.0,0.0,1.0,2.0,7.186499999999796,False,r,,0.36620000000039,5.0,r,cpoke,False,3.0,12.0,False,0.001,0.05,0.001,0.001,0.001,0.5799080053962385,0.001,0.0,0.5839080053962385,0.5839080053962385,5.476689696512882,none,0.2,light,light,1.0,0.001,0.0,False,True,0.1,0.0,True,False,6.0,6.0,0.34045319368485394,0.6595468063151461,4.0,30.0,0.5,0.4,0.9,"3.0, 12.0"
