animal_id,dt_date,violations,hits,trial,pct_correct,pct_viol
R010,2023-10-22,0.05172413793103448,0.8727272727272727,58,87.27272727272727,5.172413793103448
R010,2023-10-23,0.05128205128205128,0.7905405405405406,156,79.05405405405406,5.128205128205128
R010,2023-10-24,0.06666666666666667,0.8246753246753247,165,82.46753246753246,6.666666666666667
R010,2023-10-25,0.0603448275862069,0.8440366972477065,116,84.40366972477065,6.0344827586206895
R010,2023-10-26,0.021897810218978103,0.8582089552238806,138,85.82089552238806,2.18978102189781
R010,2023-10-27,0.043478260869565216,0.8181818181818182,92,81.81818181818183,4.3478260869565215
R010,2023-10-28,0.21428571428571427,0.696969696969697,42,69.6969696969697,21.428571428571427
R010,2023-10-29,0.0603448275862069,0.9174311926605505,116,91.74311926605505,6.0344827586206895
R010,2023-10-30,0.05970149253731343,0.8015873015873016,134,80.15873015873017,5.970149253731343
R010,2023-10-31,0.03875968992248062,0.9274193548387096,129,92.74193548387096,3.875968992248062
R010,2023-11-01,0.1056338028169014,0.7401574803149606,142,74.01574803149606,10.56338028169014
R010,2023-11-02,0.16346153846153846,0.8505747126436781,104,85.0574712643678,16.346153846153847
R012,2023-11-06,0.0625,0.7,32,70.0,6.25
R012,2023-11-07,0.02287581699346405,0.7424749163879598,306,74.24749163879598,2.287581699346405
R012,2023-11-08,0.059880239520958084,0.7515923566878981,167,75.15923566878982,5.9880239520958085
R012,2023-11-09,0.0319634703196347,0.8160377358490566,219,81.60377358490565,3.1963470319634704
R012,2023-11-10,0.07042253521126761,0.8181818181818182,143,81.81818181818183,7.042253521126761
R012,2023-11-11,0.07623318385650224,0.8106796116504854,223,81.06796116504854,7.623318385650224
R012,2023-11-12,0.04145077720207254,0.827027027027027,193,82.70270270270271,4.145077720207254
R012,2023-11-13,0.00796812749003984,0.8192771084337349,251,81.92771084337349,0.796812749003984
R021,2023-12-06,0.06293706293706294,0.9552238805970149,143,95.52238805970148,6.293706293706294
R021,2023-12-07,0.09322033898305085,0.8691588785046729,118,86.91588785046729,9.322033898305085
R021,2023-12-08,0.11049723756906077,0.9254658385093167,181,92.54658385093167,11.049723756906078
R021,2023-12-09,0.03759398496240601,0.8828125,133,88.28125,3.7593984962406015
R021,2023-12-10,0.09497206703910614,0.8827160493827161,179,88.27160493827161,9.497206703910614
R022,2023-12-09,0.06896551724137931,0.8444444444444444,145,84.44444444444444,6.896551724137931
R022,2023-12-10,0.05907172995780591,0.7802690582959642,237,78.02690582959642,5.9071729957805905
R022,2023-12-11,0.045454545454545456,0.875,177,87.5,4.545454545454546
R022,2023-12-13,0.04285714285714286,0.9104477611940298,210,91.04477611940298,4.285714285714286
R022,2023-12-14,0.0205761316872428,0.8739495798319328,243,87.39495798319328,2.05761316872428
R022,2023-12-15,0.03333333333333333,0.8659003831417624,270,86.59003831417624,3.3333333333333335
R022,2023-12-16,0.08095238095238096,0.9067357512953368,210,90.67357512953367,8.095238095238095
R022,2023-12-17,0.0228310502283105,0.9205607476635514,219,92.05607476635514,2.28310502283105
R022,2023-12-18,0.03643724696356275,0.8739495798319328,247,87.39495798319328,3.643724696356275
R022,2023-12-19,0.029045643153526972,0.9358974358974359,241,93.58974358974359,2.904564315352697
R022,2023-12-20,0.018796992481203006,0.9348659003831418,266,93.48659003831418,1.8796992481203008
R022,2023-12-21,0.08936170212765958,0.9392523364485982,235,93.92523364485982,8.936170212765958
R022,2023-12-22,0.02952029520295203,0.9391634980988594,271,93.91634980988593,2.952029520295203
R022,2023-12-23,0.037914691943127965,0.9261083743842364,211,92.61083743842364,3.7914691943127963
R022,2024-01-03,0.36,0.85,125,85.0,36.0
R022,2024-01-04,0.1871345029239766,0.9496402877697842,171,94.96402877697841,18.71345029239766
R022,2024-01-05,0.10365853658536585,0.9387755102040817,164,93.87755102040816,10.365853658536585
R022,2024-01-06,0.096045197740113,0.9375,177,93.75,9.6045197740113
R022,2024-01-08,0.04435483870967742,0.9282700421940928,248,92.82700421940928,4.435483870967742
R022,2024-01-09,0.037209302325581395,0.9565217391304348,215,95.65217391304348,3.7209302325581395
R022,2024-01-11,0.041666666666666664,0.9503105590062112,168,95.03105590062113,4.166666666666666
R022,2024-01-12,0.06790123456790123,0.9668874172185431,162,96.68874172185431,6.790123456790123
R022,2024-01-13,0.044444444444444446,0.9689922480620154,135,96.89922480620154,4.444444444444445
R022,2024-01-14,0.03164556962025317,0.9607843137254902,158,96.07843137254902,3.1645569620253164
R022,2024-01-15,0.03,0.979381443298969,100,97.9381443298969,3.0
R022,2024-01-17,0.02158273381294964,0.9705882352941176,139,97.05882352941177,2.158273381294964
R023,2023-12-11,0.044444444444444446,0.8604651162790697,45,86.04651162790698,4.444444444444445
R023,2023-12-13,0.06179775280898876,0.8502994011976048,178,85.02994011976048,6.179775280898876
R023,2023-12-14,0.10752688172043011,0.8795180722891566,186,87.95180722891565,10.75268817204301
R023,2023-12-15,0.053475935828877004,0.8531073446327684,187,85.31073446327684,5.347593582887701
R023,2023-12-16,0.07627118644067797,0.8165137614678899,118,81.65137614678899,7.627118644067797
R023,2023-12-17,0.06896551724137931,0.8641975308641975,174,86.41975308641975,6.896551724137931
R023,2023-12-18,0.059602649006622516,0.8943661971830986,151,89.43661971830986,5.960264900662252
R023,2023-12-19,0.08176100628930817,0.910958904109589,159,91.0958904109589,8.176100628930817
R023,2023-12-20,0.06206896551724138,0.8235294117647058,145,82.35294117647058,6.206896551724138
R023,2023-12-21,0.14130434782608695,0.8924050632911392,184,89.24050632911393,14.130434782608695
