,trial,animal_id,date,sess_id,result,hits,violations,temperror,hit_rate,error_rate,violation_rate,temp_error_rate,n_lpokes,n_cpokes,n_rpokes,trial_dur,trial_start,valid_early_spoke,first_spoke,first_lpoke,first_rpoke,n_settling_ins,avg_settling_in,cpoke_dur,stage,curriculum,sides,SMA_set,is_match,sa,sb,stimuli_on,settling_in_dur,legal_cbreak_dur,pre_dur,adj_pre_dur,stimulus_dur,delay_dur,post_dur,sb_extra_dur,viol_off_dur,pre_go_dur,inter_trial_dur,go_type,go_dur,give_type_set,give_type_imp,give_frac,give_delay_dur,give_xtra_light_delay_dur,give_use,replay_on,timeouts,water_delivered,give_water_not_drunk,crash_hist,was_block_swtich,volume_multiplier,l_water_vol,r_water_vol,ab_l_prob,ab_r_prob,ab_beta,ab_tau,exp_del_tau,exp_del_min,exp_del_max,sound_pair,min_time_to_spoke
10,11,R015,2023-08-04,924420,1,1,0,0,1.0,0.0,0.7,0.0,23.0,3.0,0.0,10.34069999999997,1077.278604,False,l,2.998100000000022,,2.0,0.012999999999919964,2.4635000000000673,9.0,JB_r_classic,l,cpoke,True,3.0,3.0,True,0.25,0.05,0.25,0.001,0.0315,1.497,0.25,0.0,2.06,2.06,2.4858308313879762,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,True,,35.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"3.0, 3.0",2.998100000000022
11,12,R015,2023-08-04,924420,3,,1,,1.0,0.0,0.64,0.0,14.0,2.0,0.0,18.85329999999999,1092.851304,False,n,,,1.0,,2.1277000000000044,9.0,JB_r_classic,r,cpoke,False,3.0,12.0,True,0.25,0.05,0.25,0.001,0.0315,1.497,0.25,0.0,2.06,2.06,1.533955273422206,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,False,True,0.1,0.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"3.0, 12.0",
12,13,R015,2023-08-04,924420,1,1,0,0,1.0,0.0,0.67,0.0,0.0,3.0,25.0,17.24459999999999,1114.372804,False,r,,3.2458999999998923,3.0,0.08134999999992942,2.4663000000000466,9.0,JB_r_classic,r,cpoke,False,12.0,3.0,True,0.25,0.05,0.25,0.001,0.0315,1.497,0.25,0.0,2.06,2.06,1.8084032817580993,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,True,,35.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"12.0, 3.0",3.2458999999998923
13,14,R015,2023-08-04,924420,1,1,0,0,1.0,0.0,0.62,0.0,21.0,3.0,0.0,9.54060000000004,1145.446104,False,l,2.8196000000000367,,3.0,0.0393500000000131,2.5074999999999363,9.0,JB_r_classic,l,cpoke,True,3.0,3.0,True,0.25,0.05,0.25,0.001,0.0315,1.497,0.25,0.0,2.06,2.06,1.0,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,True,,35.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"3.0, 3.0",2.8196000000000367
14,15,R015,2023-08-04,924420,1,1,0,0,1.0,0.0,0.57,0.0,14.0,1.0,0.0,7.8460999999999785,1174.507704,False,l,3.0481999999999516,,1.0,,2.455600000000004,9.0,JB_r_classic,l,cpoke,True,3.0,3.0,True,0.25,0.05,0.25,0.001,0.0315,1.497,0.25,0.0,2.06,2.06,1.1026367168359879,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,True,,35.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"3.0, 3.0",3.0481999999999516
15,16,R015,2023-08-04,924420,1,1,0,0,1.0,0.0,0.53,0.0,0.0,2.0,25.0,8.799999999999955,1196.341204,False,r,,3.2585999999998876,1.0,,2.462199999999939,9.0,JB_r_classic,r,cpoke,False,12.0,3.0,True,0.25,0.05,0.25,0.001,0.0315,1.497,0.25,0.0,2.06,2.06,1.7797852576326343,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,True,,35.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"12.0, 3.0",3.2585999999998876
16,17,R015,2023-08-04,924420,1,1,0,0,1.0,0.0,0.5,0.0,23.0,3.0,0.0,8.689300000000003,1216.837904,False,l,3.390100000000075,,3.0,0.054300000000012005,2.649900000000116,9.0,JB_r_classic,l,cpoke,True,3.0,3.0,True,0.25,0.05,0.25,0.001,0.0315,1.497,0.25,0.0,2.06,2.06,2.5332581712960156,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,True,,35.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"3.0, 3.0",3.390100000000075
17,18,R015,2023-08-04,924420,3,,1,,1.0,0.0,0.47,0.0,0.0,4.0,0.0,2.9155000000000655,1237.557904,False,n,,,2.0,0.03569999999990614,0.270200000000159,9.0,JB_r_classic,l,cpoke,True,12.0,12.0,True,0.25,0.05,0.25,0.001,0.033,1.4940000000000002,0.25,0.0,2.0600000000000005,2.0600000000000005,2.318270615480688,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,False,True,0.1,0.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"12.0, 12.0",
18,19,R015,2023-08-04,924420,3,,1,,1.0,0.0,0.5,0.0,0.0,2.0,0.0,3.6506999999999152,1258.205704,False,n,,,1.0,,1.977100000000064,9.0,JB_r_classic,l,cpoke,True,12.0,12.0,True,0.25,0.05,0.25,0.001,0.033,1.4940000000000002,0.25,0.0,2.0600000000000005,2.0600000000000005,1.5224566071515253,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,False,True,0.1,0.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"12.0, 12.0",
19,20,R015,2023-08-04,924420,3,,1,,1.0,0.0,0.53,0.0,0.0,5.0,0.0,76.28250000000003,1272.529804,False,n,,,3.0,0.04900000000009186,0.5815000000000055,9.0,JB_r_classic,r,cpoke,False,12.0,3.0,True,0.25,0.05,0.25,0.001,0.033,1.4940000000000002,0.25,0.0,2.0600000000000005,2.0600000000000005,2.0925779084605005,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,False,True,0.1,0.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"12.0, 3.0",
