animal_id,fix_experiment,stage,date,trial
R050,V1,7.0,2024-08-20,349
R050,V1,7.0,2024-08-21,311
R050,V1,7.0,2024-08-22,303
R050,V1,7.0,2024-08-23,252
R050,V1,7.0,2024-08-24,321
R050,V1,7.0,2024-08-25,369
R050,V1,7.0,2024-08-26,295
R050,V1,7.0,2024-08-27,306
R051,V2,5.0,2024-08-02,427
R051,V2,6.0,2024-08-03,440
R051,V2,7.0,2024-08-04,338
R051,V2,7.0,2024-08-05,304
R051,V2,7.0,2024-08-06,315
R051,V2,7.0,2024-08-07,353
R051,V2,7.0,2024-08-08,462
R051,V2,7.0,2024-08-09,322
R051,V2,8.0,2024-08-10,449
R052,V1,5.0,2024-08-01,416
R052,V1,6.0,2024-08-02,494
R052,V1,7.0,2024-08-03,518
R052,V1,7.0,2024-08-04,111
R052,V1,7.0,2024-08-05,562
R052,V1,7.0,2024-08-06,473
R052,V1,7.0,2024-08-07,350
R052,V1,7.0,2024-08-08,438
R052,V1,7.0,2024-08-09,407
R052,V1,7.0,2024-08-10,398
R052,V1,7.0,2024-08-11,400
R052,V1,7.0,2024-08-12,480
R052,V1,7.0,2024-08-13,317
R052,V1,7.0,2024-08-15,342
R052,V1,7.0,2024-08-16,376
R052,V1,7.0,2024-08-17,318
R052,V1,7.0,2024-08-18,337
R052,V1,7.0,2024-08-19,286
R052,V1,7.0,2024-08-20,412
R052,V1,7.0,2024-08-21,269
R052,V1,7.0,2024-08-22,262
R052,V1,7.0,2024-08-23,282
R052,V1,7.0,2024-08-24,143
R052,V1,7.0,2024-08-25,311
R052,V1,7.0,2024-08-26,290
R052,V1,7.0,2024-08-27,172
R052,V1,7.0,2024-08-28,215
R052,V1,7.0,2024-08-29,233
R052,V1,7.0,2024-08-30,268
R052,V1,7.0,2024-09-04,223
R052,V1,7.0,2024-09-05,380
R052,V1,7.0,2024-09-06,386
R052,V1,7.0,2024-09-07,314
R052,V1,7.0,2024-09-08,332
R052,V1,7.0,2024-09-11,369
R052,V1,7.0,2024-09-12,218
R052,V1,7.0,2024-09-13,205
R052,V1,7.0,2024-09-14,186
R052,V1,7.0,2024-09-15,249
R052,V1,7.0,2024-09-16,319
R052,V1,7.0,2024-09-17,260
R052,V1,7.0,2024-09-18,231
R052,V1,7.0,2024-09-19,256
R052,V1,7.0,2024-09-20,230
R052,V1,7.0,2024-09-21,149
R052,V1,7.0,2024-09-22,161
R052,V1,7.0,2024-09-23,340
R052,V1,7.0,2024-09-24,315
R052,V1,7.0,2024-09-25,255
R052,V1,7.0,2024-09-26,237
R052,V1,7.0,2024-09-27,249
R052,V1,7.0,2024-09-28,247
R052,V1,7.0,2024-09-29,405
R052,V1,7.0,2024-09-30,439
R052,V1,7.0,2024-10-01,312
R052,V1,7.0,2024-10-02,301
R052,V1,7.0,2024-10-03,388
R053,V2,5.0,2024-08-04,276
R053,V2,6.0,2024-08-05,146
R053,V2,6.0,2024-08-06,216
R053,V2,6.0,2024-08-07,146
R053,V2,7.0,2024-08-08,146
R053,V2,7.0,2024-08-09,197
R053,V2,7.0,2024-08-10,183
R053,V2,7.0,2024-08-11,207
R053,V2,7.0,2024-08-12,218
R053,V2,7.0,2024-08-13,200
R053,V2,7.0,2024-08-14,217
R053,V2,7.0,2024-08-15,211
R053,V2,7.0,2024-08-16,273
R053,V2,7.0,2024-08-17,188
R053,V2,7.0,2024-08-18,236
R053,V2,7.0,2024-08-19,306
R053,V2,7.0,2024-08-20,312
R053,V2,7.0,2024-08-21,281
R053,V2,7.0,2024-08-22,178
R053,V2,8.0,2024-08-23,202
R054,V1,5.0,2024-08-06,183
R054,V1,5.0,2024-08-07,5
R054,V1,5.0,2024-08-09,5
R054,V1,5.0,2024-08-11,4
R054,V1,5.0,2024-08-12,2
R054,V1,5.0,2024-08-13,310
R054,V1,6.0,2024-08-14,362
R054,V1,7.0,2024-08-15,366
R054,V1,7.0,2024-08-16,17
R054,V1,7.0,2024-08-17,403
R054,V1,7.0,2024-08-18,399
R054,V1,7.0,2024-08-19,309
R054,V1,7.0,2024-08-20,345
R054,V1,7.0,2024-08-21,322
R054,V1,7.0,2024-08-22,340
R054,V1,7.0,2024-08-23,372
R054,V1,7.0,2024-08-24,346
R054,V1,7.0,2024-08-25,383
R054,V1,7.0,2024-08-26,305
R054,V1,7.0,2024-08-27,243
R054,V1,7.0,2024-08-28,244
R054,V1,7.0,2024-08-29,277
R054,V1,7.0,2024-08-30,189
R054,V1,7.0,2024-09-04,277
R055,V2,5.0,2024-08-03,267
R055,V2,6.0,2024-08-04,297
R055,V2,7.0,2024-08-05,329
R055,V2,7.0,2024-08-06,324
R055,V2,7.0,2024-08-07,235
R055,V2,7.0,2024-08-08,249
R055,V2,7.0,2024-08-09,145
R055,V2,7.0,2024-08-10,277
R055,V2,7.0,2024-08-11,268
R055,V2,8.0,2024-08-12,319
R056,V1,5.0,2024-08-04,531
R056,V1,6.0,2024-08-05,465
R056,V1,7.0,2024-08-06,386
R056,V1,7.0,2024-08-07,291
R056,V1,7.0,2024-08-08,375
R056,V1,7.0,2024-08-09,329
R056,V1,7.0,2024-08-10,428
R056,V1,7.0,2024-08-11,419
R056,V1,7.0,2024-08-12,340
R056,V1,7.0,2024-08-13,333
R056,V1,7.0,2024-08-14,315
R056,V1,7.0,2024-08-15,312
R056,V1,7.0,2024-08-16,303
R056,V1,7.0,2024-08-17,352
R056,V1,7.0,2024-08-18,322
R056,V1,7.0,2024-08-19,281
R056,V1,7.0,2024-08-20,355
R056,V1,7.0,2024-08-21,268
R056,V1,7.0,2024-08-22,247
R056,V1,7.0,2024-08-23,289
R056,V1,7.0,2024-08-24,144
R056,V1,7.0,2024-08-25,263
R056,V1,7.0,2024-08-26,353
R056,V1,7.0,2024-08-27,255
R056,V1,7.0,2024-08-28,232
R056,V1,7.0,2024-08-29,264
R056,V1,7.0,2024-08-30,252
R056,V1,7.0,2024-09-04,296
R056,V1,7.0,2024-09-05,316
R056,V1,7.0,2024-09-06,260
R056,V1,7.0,2024-09-07,246
R056,V1,7.0,2024-09-08,242
R056,V1,7.0,2024-09-11,342
R056,V1,7.0,2024-09-12,336
R056,V1,7.0,2024-09-13,199
R056,V1,7.0,2024-09-14,210
R056,V1,7.0,2024-09-15,237
R056,V1,7.0,2024-09-16,333
R056,V1,7.0,2024-09-17,292
R056,V1,7.0,2024-09-18,299
R056,V1,7.0,2024-09-20,273
R056,V1,7.0,2024-09-21,199
R056,V1,7.0,2024-09-22,296
R056,V1,7.0,2024-09-23,305
R056,V1,7.0,2024-09-24,272
R056,V1,7.0,2024-09-25,199
R056,V1,7.0,2024-09-26,257
R056,V1,7.0,2024-09-27,218
R056,V1,7.0,2024-09-28,244
R056,V1,7.0,2024-09-29,409
R056,V1,7.0,2024-09-30,408
R056,V1,7.0,2024-10-01,377
R056,V1,7.0,2024-10-02,328
R056,V1,7.0,2024-10-03,361
R056,V1,7.0,2024-10-04,241
R057,V2,5.0,2024-08-05,442
R057,V2,6.0,2024-08-06,447
R057,V2,7.0,2024-08-07,353
R057,V2,7.0,2024-08-08,333
R057,V2,7.0,2024-08-09,317
R057,V2,7.0,2024-08-10,389
R057,V2,7.0,2024-08-11,354
R057,V2,8.0,2024-08-12,494
