animal_id,fix_experiment,date,hits,violations
R040,V1,2024-08-14,0.9457831325301205,0.2169811320754717
R040,V1,2024-08-15,0.9886363636363636,0.2
R040,V1,2024-08-16,0.9862385321100917,0.26101694915254237
R040,V1,2024-08-17,1.0,0.1833810888252149
R040,V1,2024-08-18,0.9896193771626297,0.16231884057971013
R040,V1,2024-08-19,0.95,0.1501416430594901
R040,V1,2024-08-20,1.0,0.14484679665738162
R040,V1,2024-08-21,0.9847094801223242,0.13262599469496023
R040,V1,2024-08-22,0.9945945945945946,0.12114014251781473
R040,V1,2024-08-23,1.0,0.12238805970149254
R041,V2,2024-08-11,0.9844961240310077,0.34183673469387754
R041,V2,2024-08-12,0.963963963963964,0.2550335570469799
R041,V2,2024-08-13,0.9861111111111112,0.26903553299492383
R041,V2,2024-08-14,0.9824561403508771,0.18571428571428572
R041,V2,2024-08-15,1.0,0.21232876712328766
R041,V2,2024-08-16,0.9832402234636871,0.11386138613861387
R041,V2,2024-08-17,0.963855421686747,0.23148148148148148
R041,V2,2024-08-18,0.9825581395348837,0.22522522522522523
R041,V2,2024-08-19,0.9876543209876543,0.22488038277511962
R041,V2,2024-08-20,0.9827586206896551,0.2018348623853211
R042,V1,2024-08-11,0.9683908045977011,0.19444444444444445
R042,V1,2024-08-12,0.9841772151898734,0.17922077922077922
R042,V1,2024-08-13,0.9787878787878788,0.08839779005524862
R042,V1,2024-08-14,0.9956521739130435,0.1449814126394052
R042,V1,2024-08-15,0.9879518072289156,0.1782178217821782
R042,V1,2024-08-16,0.9908256880733946,0.14173228346456693
R042,V1,2024-08-17,0.9888579387186629,0.08418367346938775
R042,V1,2024-08-18,0.9919571045576407,0.0675
R042,V1,2024-08-19,0.9918478260869565,0.08
R042,V1,2024-08-20,0.9709762532981531,0.03316326530612245
R043,V2,2024-08-07,0.9936305732484076,0.14673913043478262
R043,V2,2024-08-08,0.992,0.10501193317422435
R043,V2,2024-08-09,0.9832869080779945,0.08184143222506395
R043,V2,2024-08-10,0.9929078014184397,0.045146726862302484
R043,V2,2024-08-11,0.9881516587677726,0.04308390022675737
R043,V2,2024-08-12,1.0,0.05084745762711865
R043,V2,2024-08-13,0.9858156028368794,0.06415929203539823
R043,V2,2024-08-14,0.9872122762148338,0.07565011820330969
R043,V2,2024-08-15,0.9906976744186047,0.04656319290465632
R043,V2,2024-08-16,0.994750656167979,0.02806122448979592
R045,V2,2024-08-11,0.9966887417218543,0.18157181571815717
R045,V2,2024-08-12,0.9651162790697675,0.18095238095238095
R045,V2,2024-08-13,0.9653979238754326,0.09119496855345911
R045,V2,2024-08-14,0.9880478087649402,0.06691449814126393
R045,V2,2024-08-15,0.9715639810426541,0.156
R045,V2,2024-08-16,0.9885931558935361,0.09621993127147767
R045,V2,2024-08-17,0.9971181556195965,0.11025641025641025
R045,V2,2024-08-18,0.9754098360655737,0.08270676691729323
R045,V2,2024-08-19,0.9772727272727273,0.10465116279069768
R045,V2,2024-08-20,0.9798657718120806,0.08307692307692308
R046,V1,2024-08-13,0.9908675799086758,0.14785992217898833
R046,V1,2024-08-14,0.9958333333333333,0.1724137931034483
R046,V1,2024-08-15,0.9863636363636363,0.15057915057915058
R046,V1,2024-08-16,0.9915254237288136,0.09230769230769231
R046,V1,2024-08-17,0.9955555555555555,0.14122137404580154
R046,V1,2024-08-18,0.976897689768977,0.07621951219512195
R046,V1,2024-08-19,0.9956140350877193,0.10236220472440945
R046,V1,2024-08-20,0.9777777777777777,0.12790697674418605
R046,V1,2024-08-21,1.0,0.03557312252964427
R046,V1,2024-08-22,0.982532751091703,0.07661290322580645
R047,V2,2024-08-29,1.0,0.11333333333333333
R047,V2,2024-08-30,0.9967320261437909,0.11560693641618497
R047,V2,2024-09-04,0.9795081967213115,0.12857142857142856
R047,V2,2024-09-05,1.0,0.07977207977207977
R047,V2,2024-09-06,0.9962962962962963,0.12337662337662338
R047,V2,2024-09-07,0.9896103896103896,0.08333333333333333
R047,V2,2024-09-08,0.9949622166246851,0.05476190476190476
R047,V2,2024-09-11,0.9928909952606635,0.04524886877828054
R047,V2,2024-09-12,1.0,0.07349081364829396
R047,V2,2024-09-13,0.9935064935064936,0.052307692307692305
R048,V1,2024-09-16,0.9242424242424242,0.1926605504587156
R048,V1,2024-09-17,0.9265175718849841,0.15405405405405406
R048,V1,2024-09-18,0.9038461538461539,0.17131474103585656
R048,V1,2024-09-19,0.8739130434782608,0.1872791519434629
R048,V1,2024-09-20,0.9439655172413793,0.1888111888111888
R048,V1,2024-09-21,0.9349112426035503,0.23356009070294784
R048,V1,2024-09-22,0.9456869009584664,0.2035623409669211
R048,V1,2024-09-23,0.9425981873111783,0.22300469483568075
R048,V1,2024-09-24,0.9333333333333333,0.16434540389972144
R048,V1,2024-09-25,0.9213483146067416,0.13870967741935483
R049,V2,2024-08-19,0.9815950920245399,0.12129380053908356
R049,V2,2024-08-20,0.9922178988326849,0.1490066225165563
R049,V2,2024-08-21,0.9893617021276596,0.07540983606557378
R049,V2,2024-08-22,0.9949748743718593,0.20080321285140562
R049,V2,2024-08-23,0.9956521739130435,0.12547528517110265
R049,V2,2024-08-24,0.9968051118210862,0.11079545454545454
R049,V2,2024-08-25,0.9911504424778761,0.07880434782608696
R049,V2,2024-08-26,0.9726775956284153,0.08040201005025126
R049,V2,2024-08-27,0.9911764705882353,0.07103825136612021
R049,V2,2024-08-28,0.9430379746835443,0.0650887573964497
R050,V1,2024-08-28,0.98,0.16666666666666666
R050,V1,2024-08-29,0.9740740740740741,0.12337662337662338
R050,V1,2024-08-30,0.9762845849802372,0.12152777777777778
R050,V1,2024-09-04,0.9298245614035088,0.2
R050,V1,2024-09-05,0.9764705882352941,0.11764705882352941
R050,V1,2024-09-06,0.983739837398374,0.05747126436781609
R050,V1,2024-09-07,0.9714285714285714,0.04833836858006042
R050,V1,2024-09-08,0.9562841530054644,0.07808564231738035
R050,V1,2024-09-11,0.9460154241645244,0.06265060240963856
R050,V1,2024-09-12,0.964968152866242,0.059880239520958084
R051,V2,2024-08-11,0.9747292418772563,0.12063492063492064
R051,V2,2024-08-12,0.9969512195121951,0.12299465240641712
R051,V2,2024-08-13,0.9939393939393939,0.10810810810810811
R051,V2,2024-08-14,0.9863636363636363,0.12350597609561753
