animal_id,fix_experiment,days,date,failure_rate
R052,V1,57,2024-10-11,0.05604719764011799
R052,V1,57,2024-10-13,0.03225806451612903
R053,V2,19,2024-08-24,0.32989690721649484
R053,V2,19,2024-08-25,0.3575757575757576
R053,V2,19,2024-08-26,0.3
R053,V2,19,2024-08-27,0.29454545454545455
R053,V2,19,2024-08-28,0.30837004405286345
R053,V2,19,2024-08-29,0.25
R053,V2,19,2024-08-30,0.23103448275862068
R053,V2,19,2024-09-04,0.31683168316831684
R053,V2,19,2024-09-05,0.22727272727272727
R053,V2,19,2024-09-06,0.2765957446808511
R054,V1,24,2024-09-05,0.08108108108108109
R054,V1,24,2024-09-06,0.08018867924528301
R054,V1,24,2024-09-07,0.06593406593406594
R054,V1,24,2024-09-08,0.18
R054,V1,24,2024-09-11,0.09302325581395349
R054,V1,24,2024-09-12,0.06878306878306878
R054,V1,24,2024-09-13,0.06944444444444445
R054,V1,24,2024-09-14,0.05154639175257732
R054,V1,24,2024-09-15,0.03614457831325301
R054,V1,24,2024-09-16,0.0694980694980695
R055,V2,9,2024-08-13,0.1347517730496454
R055,V2,9,2024-08-14,0.1375
R055,V2,9,2024-08-15,0.19047619047619047
R055,V2,9,2024-08-16,0.09621993127147767
R055,V2,9,2024-08-17,0.10963455149501661
R055,V2,9,2024-08-18,0.13513513513513514
R055,V2,9,2024-08-19,0.09446254071661238
R055,V2,9,2024-08-20,0.09294871794871795
R055,V2,9,2024-08-21,0.04573170731707317
R055,V2,9,2024-08-23,0.3299492385786802
R056,V1,55,2024-10-05,0.22697368421052633
R056,V1,55,2024-10-06,0.23897058823529413
R056,V1,55,2024-10-07,0.26517571884984026
R056,V1,55,2024-10-08,0.2099236641221374
R056,V1,55,2024-10-09,0.13712374581939799
R056,V1,55,2024-10-10,0.1757188498402556
R056,V1,55,2024-10-11,0.18475073313782991
R056,V1,55,2024-10-13,0.16455696202531644
R056,V1,55,2024-10-14,0.12322274881516587
R056,V1,55,2024-10-15,0.10584958217270195
R057,V2,7,2024-08-13,0.1662269129287599
R057,V2,7,2024-08-14,0.1157556270096463
R057,V2,7,2024-08-15,0.09923664122137404
R057,V2,7,2024-08-16,0.09239130434782608
R057,V2,7,2024-08-17,0.06116207951070336
R057,V2,7,2024-08-18,0.08823529411764706
R057,V2,7,2024-08-19,0.10377358490566038
R057,V2,7,2024-08-20,0.09156626506024096
R057,V2,7,2024-08-21,0.06158357771260997
R057,V2,7,2024-08-22,0.09352517985611511
