animal_id,fix_experiment,stage,date,trial
R055,V2,10.0,2024-08-21,330
R055,V2,10.0,2024-08-23,198
R056,V1,9.0,2024-10-05,304
R056,V1,9.0,2024-10-06,272
R056,V1,9.0,2024-10-07,313
R056,V1,9.0,2024-10-08,262
R056,V1,9.0,2024-10-09,299
R056,V1,10.0,2024-10-10,313
R056,V1,10.0,2024-10-11,341
R056,V1,10.0,2024-10-13,316
R056,V1,10.0,2024-10-14,422
R056,V1,10.0,2024-10-15,359
R057,V2,9.0,2024-08-13,379
R057,V2,9.0,2024-08-14,311
R057,V2,9.0,2024-08-15,393
R057,V2,9.0,2024-08-16,368
R057,V2,9.0,2024-08-17,327
R057,V2,10.0,2024-08-18,442
R057,V2,10.0,2024-08-19,424
R057,V2,10.0,2024-08-20,415
R057,V2,10.0,2024-08-21,341
R057,V2,10.0,2024-08-22,278
