animal_id,warm_up_imp,violations
R040,0.0,0.21837606837606838
R040,1.0,0.2
R042,0.0,0.22970605411718903
R042,1.0,0.2465753424657534
R046,0.0,0.22359154929577466
R046,1.0,0.20833333333333334
R048,0.0,0.30649643259481785
R048,1.0,0.28823529411764703
R050,0.0,0.16405228758169935
R050,1.0,0.21904761904761905
R052,0.0,0.21288699922151028
R052,1.0,0.22232142857142856
R054,0.0,0.11933937133724028
R054,1.0,0.1610738255033557
R056,0.0,0.2187879951366225
R056,1.0,0.18694096601073346
