trial,animal_id,date,sess_id,result,hits,violations,temperror,hit_rate,error_rate,violation_rate,temp_error_rate,n_lpokes,n_cpokes,n_rpokes,trial_dur,valid_early_spoke,first_spoke,first_lpoke,first_rpoke,stage,sides,SMA_set,is_match,sa,sb,stimuli_on,settling_in_dur,legal_cbreak_dur,pre_dur,adj_pre_dur,stimulus_dur,delay_dur,post_dur,sb_extra_dur,viol_off_dur,pre_go_dur,inter_trial_dur,go_type,go_dur,give_type_set,give_type_imp,give_frac,give_delay_dur,give_light_dur,give_use,replay_on,timeouts,water_delivered,give_water_not_drunk,crash_hist,l_water_vol,r_water_vol,ab_l_prob,ab_r_prob,ab_beta,ab_tau,sound_pair,exp_del_tau,exp_del_min,exp_del_max
13,R610,2023-04-13,911939,1,1,0,0,1.0,0.0,0.0,0.0,6.0,1.0,3.0,44.849699999999984,False,l,2.2309000000000196,,1.0,l,spoke,True,3.0,3.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,40.52144363535098,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,20.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"3.0, 3.0",,,
14,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,0.0,0.0,2.0,48.56290000000001,False,l,,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,40.51920558627401,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,6.0,True,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
15,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,1.0,4.0,2.0,51.599500000000035,False,l,,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,43.59724407536889,none,0.2,water_and_light,light,1.0,0.001,0.0,True,False,,0.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
16,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.67859999999996,False,l,,,1.0,l,spoke,True,3.0,3.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,32.63490878654983,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,6.0,True,False,20.0,20.0,1.0,0.0,0.0,30.0,"3.0, 3.0",,,
17,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,6.0,1.0,14.0,46.77019999999993,False,l,,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,38.76790435402162,none,0.2,water_and_light,light,1.0,0.001,0.0,True,False,,0.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
18,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,5.0,1.0,1.0,47.372100000000046,False,l,,,1.0,l,spoke,True,3.0,3.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,39.32840550260647,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,6.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"3.0, 3.0",,,
19,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.711700000000064,False,l,,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,41.667991773354146,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,6.0,True,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
20,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,2.0,2.0,1.0,47.753099999999904,False,l,,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,39.75082940301013,none,0.2,water_and_light,light,1.0,0.001,0.0,True,False,,0.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
21,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,4.0,7.0,7.0,56.134399999999914,False,l,,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,48.09066789785506,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,6.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
22,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,0.0,2.0,2.0,49.54130000000009,False,l,,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,41.49761719173689,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,6.0,True,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
23,R610,2023-04-13,911939,1,1,0,0,1.0,0.0,0.0,0.0,9.0,0.0,3.0,46.38719999999989,False,l,1.6131000000000313,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,42.635348325220825,none,0.2,water_and_light,light,1.0,0.001,0.0,True,False,,20.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
24,R610,2023-04-13,911939,1,1,0,0,1.0,0.0,0.0,0.0,15.0,1.0,3.0,57.775499999999965,False,l,7.368099999999913,,1.0,l,spoke,True,3.0,3.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,48.30998831589545,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,20.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"3.0, 3.0",,,
25,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,6.0,0.0,0.0,45.706899999999905,False,l,,,1.0,l,spoke,True,3.0,3.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,37.66317932869472,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,6.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"3.0, 3.0",,,
26,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,2.0,0.0,1.0,51.17450000000008,False,l,,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,43.13075908438557,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,6.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
27,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,6.0,1.0,2.0,35.05030000000011,False,l,,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,27.00664838646137,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,6.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
28,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,3.0,0.0,1.0,43.02389999999991,False,l,,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,34.98020676336587,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,6.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
29,R610,2023-04-13,911939,1,1,0,0,1.0,0.0,0.0,0.0,14.0,0.0,2.0,49.227499999999964,False,l,5.97829999999999,,1.0,l,spoke,True,3.0,3.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,41.151844800925126,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,20.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"3.0, 3.0",,,
30,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,3.0,0.0,1.0,44.184099999999944,False,l,,,1.0,l,spoke,True,3.0,3.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,36.14037138068494,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,6.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"3.0, 3.0",,,
31,R610,2023-04-13,911939,1,1,0,0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,45.05160000000001,False,l,3.210399999999936,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,39.74376139028451,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,20.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
32,R610,2023-04-13,911939,1,1,0,0,1.0,0.0,0.0,0.0,7.0,1.0,2.0,46.955200000000104,False,l,0.17599999999993088,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,44.68177616797471,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,20.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
33,R610,2023-04-13,911939,1,1,0,0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,50.00690000000009,False,l,1.5924999999999727,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,46.31700830556055,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,20.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
34,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,41.152500000000146,False,l,,,1.0,l,spoke,True,3.0,3.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,33.10883334633294,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,6.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"3.0, 3.0",,,
35,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,5.0,1.0,2.0,49.50599999999986,False,l,,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,41.46228852658372,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,6.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
36,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,7.0,0.0,0.0,45.677400000000034,False,l,,,1.0,l,spoke,True,3.0,3.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,37.633679262884854,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,6.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"3.0, 3.0",,,
37,R610,2023-04-13,911939,1,1,0,0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,41.44560000000001,False,l,0.2665999999999258,,1.0,l,spoke,True,3.0,3.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,39.08159384129714,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,20.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"3.0, 3.0",,,
38,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,7.0,0.0,4.0,50.70560000000023,False,l,,,1.0,l,spoke,True,3.0,3.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,42.66189133302825,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,6.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"3.0, 3.0",,,
39,R610,2023-04-13,911939,1,1,0,0,1.0,0.0,0.0,0.0,15.0,7.0,3.0,46.40950000000021,False,l,3.694799999999759,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,40.617316159284,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,20.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
40,R610,2023-04-13,911939,1,1,0,0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,50.546600000000126,False,l,7.901499999999942,,1.0,l,spoke,True,3.0,3.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,40.54771577065678,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,20.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"3.0, 3.0",,,
41,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,52.23729999999978,False,l,,,1.0,l,spoke,True,3.0,3.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,44.19364580640986,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,6.0,True,False,20.0,20.0,1.0,0.0,0.0,30.0,"3.0, 3.0",,,
42,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,4.0,0.0,0.0,44.765300000000025,False,l,,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,36.76303157347492,none,0.2,water_and_light,light,1.0,0.001,0.0,True,False,,0.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
43,R610,2023-04-13,911939,1,1,0,0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,46.15549999999985,False,l,0.23299999999971988,,1.0,l,spoke,True,3.0,3.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,43.82506709422365,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,20.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"3.0, 3.0",,,
44,R610,2023-04-13,911939,1,1,0,0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,50.67399999999998,False,l,5.60759999999982,,1.0,l,spoke,True,3.0,3.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,42.968992794132575,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,20.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"3.0, 3.0",,,
45,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,4.0,1.0,2.0,42.11819999999989,False,l,,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,34.07450875039674,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,6.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
46,R610,2023-04-13,911939,1,1,0,0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,35.36360000000013,False,l,1.3962999999998829,,1.0,l,spoke,True,3.0,3.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,31.869855617191156,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,20.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"3.0, 3.0",,,
47,R610,2023-04-13,911939,1,1,0,0,1.0,0.0,0.0,0.0,8.0,1.0,1.0,43.54619999999977,False,l,6.92679999999973,,1.0,l,spoke,True,3.0,3.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,34.521961396305684,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,20.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"3.0, 3.0",,,
48,R610,2023-04-13,911939,1,1,0,0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,45.98250000000007,False,l,3.6172999999998865,,1.0,l,spoke,True,3.0,3.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,40.26775210091087,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,20.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"3.0, 3.0",,,
49,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,41.6556999999998,False,l,,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,33.6119840090767,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,6.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
50,R610,2023-04-13,911939,1,1,0,0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,39.84929999999986,False,l,2.049699999999575,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,35.70223542100483,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,20.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
51,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,61.30400000000009,False,l,,,1.0,l,spoke,True,3.0,3.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,53.260299161616395,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,6.0,True,False,20.0,20.0,1.0,0.0,0.0,30.0,"3.0, 3.0",,,
52,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,51.06640000000016,False,l,,,1.0,l,spoke,True,3.0,3.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,43.06412440497673,none,0.2,water_and_light,light,1.0,0.001,0.0,True,False,,0.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"3.0, 3.0",,,
53,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,3.0,1.0,0.0,39.32960000000003,False,l,,,1.0,l,spoke,True,3.0,3.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,31.285861214196505,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,6.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"3.0, 3.0",,,
54,R610,2023-04-13,911939,1,1,0,0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,49.49429999999984,False,l,4.309399999999641,,1.0,l,spoke,True,3.0,3.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,43.087478904624234,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,20.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"3.0, 3.0",,,
55,R610,2023-04-13,911939,1,1,0,0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,44.57540000000017,False,l,4.392699999999877,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,38.085304226856586,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,20.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
56,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,6.0,0.0,1.0,50.378400000000056,False,l,,,1.0,l,spoke,True,3.0,3.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,42.33467151890106,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,6.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"3.0, 3.0",,,
