animal_id,date,rigid,n_done_trials,n_sessions,start_time,train_dur_hrs,trial_rate,hit_rate,viol_rate,side_bias,mass,tech,percent_target,pub_volume,rig_volume,volume_target,water_diff
R020,2024-01-15,Rig08,74.0,1,06:11:27,1.48,50.0,0.78,0.15,-0.06,446.1,JM,0.0,0.0,1.96,13.38,-11.420000000000002
R021,2024-01-13,Rig09,94.0,1,06:09:14,1.38,68.12,0.87,0.18,0.1599999999999999,375.6,JM,0.0,0.0,2.479,11.27,-8.791
R021,2024-01-14,Rig09,77.0,1,06:09:10,1.29,59.69,0.94,0.08,0.01,378.4,JM,0.0,0.0,2.479,11.35,-8.870999999999999
R021,2024-01-15,Rig09,21.0,1,06:13:49,1.44,14.58,0.99,0.24,0.0,391.5,JM,0.0,0.0,0.592,11.74,-11.148
R022,2024-01-13,Rig16,135.0,1,06:20:20,1.18,114.41,0.97,0.04,0.04,435.5,JM,0.0,0.0,0.0,13.06,-13.06
R022,2024-01-14,Rig16,158.0,1,06:08:27,1.3,121.54,0.96,0.03,0.05,444.7,JM,0.0,0.0,5.88,13.34,-7.46
R022,2024-01-15,Rig16,100.0,1,06:11:26,1.47,68.03,0.98,0.03,0.03,450.6,JM,0.0,0.0,3.8,13.52,-9.72
R023,2024-01-13,Rig18,148.0,1,06:06:23,1.41,104.96,0.9000000000000001,0.1199999999999999,-0.0999999999999999,359.1,JM,0.0,0.0,5.85,10.77,-4.92
R023,2024-01-14,Rig18,134.0,1,06:06:57,1.32,101.52,0.9,0.1199999999999999,-0.05,361.1,JM,0.0,0.0,5.3,10.83,-5.53
R023,2024-01-15,Rig18,62.0,1,06:10:54,1.47,42.18,0.88,0.31,-0.0899999999999999,368.3,JM,0.0,0.0,1.9,11.05,-9.15
R024,2024-01-13,Rig19,212.0,1,07:42:05,3.43,61.81,0.8200000000000001,0.07,-0.0799999999999999,413.9,JM,0.0,0.0,7.29,12.42,-5.13
R024,2024-01-14,Rig19,245.0,1,07:36:46,3.51,69.8,0.77,0.04,-0.0799999999999999,412.1,JM,0.0,0.0,8.19,12.36,-4.17
R024,2024-01-15,Rig19,117.0,1,07:49:20,3.15,37.14,0.74,0.09,-0.1999999999999999,424.5,JM,0.0,0.0,3.555,12.74,-9.185
R025,2024-01-13,Rig12,363.0,1,07:41:57,3.44,105.52,0.91,0.32,-0.0999999999999999,305.6,JM,0.0,0.0,5.65,9.17,-3.52
R025,2024-01-14,Rig12,166.0,1,07:37:38,3.49,47.56,0.93,0.3,0.0399999999999999,309.9,JM,0.0,0.0,2.725,9.3,-6.575000000000001
R025,2024-01-15,Rig12,69.0,1,07:49:14,3.16,21.84,0.86,0.46,-0.1799999999999999,319.1,JM,0.0,0.0,0.8,9.57,-8.77
R026,2024-01-13,Rig13,395.0,1,07:43:48,3.42,115.5,0.6899999999999998,0.17,0.12,374.5,JM,0.0,0.0,9.0,11.24,-2.24
R026,2024-01-14,Rig14,602.0,1,07:37:40,3.5,172.0,0.62,0.57,-0.07,383.3,JM,0.0,0.0,6.36,11.5,-5.14
R026,2024-01-15,Rig14,475.0,2,07:50:20,3.09,153.72,0.5529263157894738,0.7707578947368421,-0.0197473684210525,397.2,JM,0.0,0.0,0.0,11.92,-11.92
R027,2024-01-13,Rig24,197.0,1,07:43:58,3.41,57.77,0.91,0.3,-0.02,390.2,JM,0.0,0.0,4.375,11.71,-7.335000000000001
R027,2024-01-14,Rig24,110.0,1,07:37:50,3.51,31.34,0.92,0.3,-0.0599999999999999,394.5,JM,0.0,0.0,2.485,11.84,-9.355
R027,2024-01-15,Rig24,20.0,1,07:50:28,3.15,6.35,0.58,0.4,-0.49,402.9,JM,0.0,0.0,0.245,12.09,-11.845
R028,2024-01-13,Rig06,240.0,1,07:44:32,3.42,70.18,0.76,0.17,-0.07,419.2,JM,0.0,0.0,6.08,12.58,-6.5
R028,2024-01-14,Rig06,298.0,1,07:38:21,3.51,84.9,0.73,0.11,0.0,417.7,JM,0.0,0.0,7.68,12.53,-4.85
R028,2024-01-15,Rig06,119.0,1,07:50:58,3.16,37.66,0.7300000000000001,0.12,-0.05,428.1,JM,0.0,0.0,3.08,12.84,-9.76
R029,2024-01-13,Rig09,244.0,1,07:44:42,3.41,71.55,0.65,0.37,0.28,401.5,JM,0.0,0.0,3.96,12.04,-8.079999999999998
R029,2024-01-14,Rig09,145.0,1,07:41:21,3.46,41.91,0.77,0.35,0.3099999999999999,407.2,JM,0.0,0.0,2.88,12.22,-9.34
R029,2024-01-15,Rig09,65.0,1,07:51:31,3.15,20.63,0.74,0.28,0.01,415.9,JM,0.0,0.0,1.4,12.48,-11.08
R020,2024-01-17,Rig08,125.0,1,05:09:41,1.53,81.7,0.62,0.08,0.04,437.1,JM,0.0,0.0,2.84,13.11,-10.27
R021,2024-01-17,Rig09,93.0,1,05:10:57,1.5,62.0,0.98,0.1,-0.01,380.4,JM,0.0,0.0,3.69,11.41,-7.720000000000001
R022,2024-01-17,Rig16,139.0,1,05:11:05,1.5,92.67,0.97,0.02,0.02,448.6,JM,0.0,0.0,5.28,13.46,-8.18
R023,2024-01-17,Rig18,104.0,1,05:09:04,1.53,67.97,0.92,0.14,0.0399999999999999,364.5,JM,0.0,0.0,4.1,10.93,-6.83
