animal_id,date,rigid,n_done_trials,n_sessions,start_time,train_dur_hrs,trial_rate,hit_rate,viol_rate,side_bias,mass,tech,percent_target,pub_volume,rig_volume,volume_target,water_diff
R600,2023-06-28,,,0,,0.0,,,,,24.18,ER,0.0,0.0,0.0,0.97,-0.97
R600,2023-07-04,,,0,,0.0,,,,,24.51,ER,0.0,0.0,0.0,0.98,-0.98
R600,2023-07-05,,,0,,0.0,,,,,24.1,ER,0.0,0.0,0.0,0.96,-0.96
R610,2023-06-22,,,0,,0.0,,,,,18.39,JL,4.0,0.0,0.791,0.74,0.051
R610,2023-06-23,Rig406,201.0,1,09:19:49,1.02,197.06,0.67,0.15,0.13,18.32,JL,4.0,0.0,0.798,0.73,0.068
R610,2023-06-24,Rig406,205.0,1,09:35:08,1.03,199.03,0.73,0.12,0.06,18.4,ER,4.0,0.0,0.931,0.74,0.191
R610,2023-06-25,Rig406,209.0,1,09:18:14,1.05,199.05,0.6399999999999999,0.17,0.04,18.59,ER,4.0,0.0,0.784,0.74,0.044
R610,2023-06-26,Rig406,205.0,1,09:24:33,1.03,199.03,0.71,0.14,-0.03,18.63,JL,4.0,0.0,0.875,0.75,0.125
R610,2023-06-27,Rig406,208.0,1,09:29:45,1.06,196.23,0.7100000000000001,0.19,-0.15,18.73,JL,4.0,0.0,0.833,0.75,0.0829999999999999
R610,2023-06-28,Rig406,201.0,1,07:36:52,1.0,201.0,0.68,0.19,0.0,18.9,ER,4.0,0.0,0.777,0.76,0.017
R610,2023-06-29,Rig406,223.0,1,09:18:32,1.08,206.48,0.7,0.24,-0.0499999999999999,18.52,JL,4.0,0.0,0.826,0.74,0.0859999999999999
R610,2023-06-30,Rig406,211.0,1,08:59:36,1.09,193.58,0.7,0.18,0.01,18.45,JL,4.0,0.0,0.84,0.74,0.0999999999999999
R610,2023-07-01,Rig406,204.0,1,07:45:18,1.09,187.16,0.69,0.14,-0.14,18.43,ER,4.0,0.0,0.861,0.74,0.121
R610,2023-07-02,Rig406,269.0,1,09:41:11,1.55,173.55,0.73,0.11,-0.05,18.51,ER,4.0,0.0,1.232,0.74,0.492
R610,2023-07-03,Rig406,207.0,1,09:37:59,1.03,200.97,0.6,0.24,0.02,19.02,JL,4.0,0.105,0.665,0.76,0.01
R610,2023-07-04,Rig406,203.0,1,07:27:16,1.02,199.02,0.6,0.16,-0.1799999999999999,18.94,ER,4.0,0.048,0.714,0.76,0.002
R610,2023-07-05,Rig406,206.0,1,07:28:50,1.02,201.96,0.7,0.19,0.0,18.8,ER,4.0,0.0,0.819,0.75,0.0689999999999999
R610,2023-07-06,Rig406,179.0,1,09:09:05,1.05,170.48,0.69,0.13,-0.18,18.59,JL,4.0,0.0,0.749,0.74,0.009
R611,2023-06-22,,,0,,0.0,,,,,17.57,JL,4.0,0.0,0.952,0.7,0.252
R611,2023-06-23,Rig404,168.0,1,09:20:56,1.01,166.34,0.72,0.01,0.24,17.66,JL,4.0,0.0,0.968,0.71,0.258
R611,2023-06-24,Rig404,186.0,1,09:35:06,1.03,180.58,0.6900000000000001,0.03,-0.0199999999999999,17.92,ER,4.0,0.0,1.0,0.72,0.28
R611,2023-06-25,Rig404,190.0,1,09:18:11,1.06,179.25,0.48,0.01,0.02,17.84,ER,4.0,0.0,0.728,0.71,0.018
R611,2023-06-26,Rig404,186.0,1,09:24:11,1.04,178.85,0.57,0.03,-0.1999999999999999,17.74,JL,4.0,0.0,0.824,0.71,0.1139999999999999
R611,2023-06-27,Rig404,194.0,1,09:31:43,1.03,188.35,0.49,0.05,-0.01,17.75,JL,4.0,0.0,0.728,0.71,0.018
