animal_id,date,rigid,n_done_trials,n_sessions,start_time,train_dur_hrs,trial_rate,hit_rate,viol_rate,side_bias,mass,tech,percent_target,pub_volume,rig_volume,volume_target,water_diff
R030,2024-05-19,Rig09,214.0,1,18:43:46,3.4,62.94,0.78,0.04,0.13,405.0,AB,20.0,10.404,6.07,81.0,-64.526
R031,2024-05-19,Rig25,275.0,1,18:42:32,3.42,80.41,0.77,0.08,-0.15,427.0,AB,20.0,13.824,5.88,85.4,-65.696
R032,2024-05-19,Rig10,254.0,1,18:45:29,3.38,75.15,0.79,0.23,0.12,387.0,AB,20.0,40.464,3.85,77.4,-33.086000000000006
R033,2024-05-19,Rig22,160.0,1,18:45:33,3.38,47.34,0.69,0.09,-0.14,410.0,AB,20.0,9.864,2.828,82.0,-69.30799999999999
R034,2024-05-19,Rig02,262.0,1,18:46:29,3.38,77.51,0.67,0.11,-0.13,366.0,AB,20.0,14.796,4.71,73.2,-53.694
R035,2024-05-19,Rig24,287.0,1,18:46:40,3.37,85.16,0.99,0.1,0.0,322.0,AB,20.0,12.348,0.0,64.4,-52.05200000000001
R036,2024-05-19,Rig19,302.0,1,18:47:51,3.37,89.61,0.66,0.2,-0.03,367.0,AB,20.0,10.152,5.256,73.4,-57.992
R037,2024-05-19,Rig07,226.0,1,18:47:35,3.37,67.06,0.84,0.03,0.0499999999999999,400.0,AB,20.0,12.888,0.0,80.0,-67.112
R038,2024-05-19,Rig35,106.0,1,18:48:53,3.36,31.55,0.8099999999999999,0.16,-0.29,398.0,AB,20.0,13.14,0.0,79.6,-66.46
R039,2024-05-19,Rig18,101.0,1,18:49:03,3.35,30.15,0.34,0.04,0.2099999999999999,385.0,AB,20.0,12.348,1.056,77.0,-63.596
R030,2024-05-20,Rig09,466.0,1,18:36:27,3.63,128.37,0.64,0.53,-0.15,404.0,ER,20.0,10.908,5.26,80.8,-64.632
R031,2024-05-20,Rig25,229.0,1,18:36:18,3.63,63.09,0.83,0.11,-0.0899999999999999,427.0,ER,20.0,21.492,5.1,85.4,-58.80800000000001
R032,2024-05-20,Rig10,198.0,1,18:38:07,3.61,54.85,0.77,0.17,-0.05,387.0,ER,20.0,41.364,0.0,77.4,-36.03600000000001
R033,2024-05-20,Rig22,160.0,1,18:37:52,3.62,44.2,0.64,0.16,-0.07,410.0,ER,20.0,10.692,2.408,82.0,-68.9
R034,2024-05-20,Rig02,226.0,1,18:39:38,3.6,62.78,0.71,0.12,-0.13,369.0,ER,20.0,12.312,4.2,73.8,-57.288
R035,2024-05-20,Rig24,235.0,1,18:39:23,3.6,65.28,0.99,0.21,0.0,321.0,ER,20.0,11.34,6.072,64.2,-46.788
R036,2024-05-20,Rig19,277.0,1,18:41:03,3.58,77.37,0.65,0.12,0.05,372.0,ER,20.0,9.936,0.0,74.4,-64.464
R037,2024-05-20,Rig07,226.0,1,18:40:50,3.59,62.95,0.84,0.02,0.03,403.0,ER,20.0,12.348,5.58,80.6,-62.672
R038,2024-05-20,Rig35,17.0,1,18:42:54,3.57,4.76,0.88,0.53,-0.24,402.0,ER,20.0,12.132,0.0,80.4,-68.268
R039,2024-05-20,Rig18,215.0,1,18:42:43,3.57,60.22,0.93,0.05,-0.0399999999999999,388.0,ER,20.0,13.104,6.048,77.6,-58.44799999999999
R030,2024-05-21,Rig09,272.0,1,18:41:30,3.41,79.77,0.73,0.03,0.01,413.0,KO,20.0,10.044,7.315,82.6,-65.24099999999999
R031,2024-05-21,Rig25,199.0,1,18:38:59,3.46,57.51,0.78,0.08,-0.16,429.0,KO,20.0,40.788,4.32,85.8,-40.692
R032,2024-05-21,Rig10,194.0,1,18:42:48,3.41,56.89,0.8,0.2,0.0699999999999999,392.0,KO,20.0,41.436,3.125,78.4,-33.839000000000006
R033,2024-05-21,Rig22,135.0,1,18:43:12,3.41,39.59,0.68,0.19,-0.0999999999999999,410.0,KO,20.0,12.744,0.0,82.0,-69.256
R034,2024-05-21,Rig02,248.0,1,18:42:20,3.44,72.09,0.67,0.1,0.0,372.0,KO,20.0,12.204,4.47,74.4,-57.726000000000006
R035,2024-05-21,Rig24,266.0,1,18:43:14,3.42,77.78,0.98,0.1,0.02,325.0,KO,20.0,12.384,0.0,65.0,-52.616
R036,2024-05-21,Rig19,240.0,1,18:41:14,3.46,69.36,0.73,0.1199999999999999,-0.0999999999999999,373.0,KO,20.0,9.18,5.052,74.6,-60.368
R037,2024-05-21,Rig07,232.0,1,18:42:32,3.45,67.25,0.84,0.0399999999999999,0.0899999999999999,406.0,KO,20.0,13.788,5.61,81.2,-61.80200000000001
R038,2024-05-21,Rig35,100.0,1,18:41:49,3.49,28.65,0.77,0.16,-0.27,403.0,KO,20.0,12.204,2.275,80.6,-66.121
R039,2024-05-21,Rig18,157.0,1,18:41:15,3.48,45.11,0.78,0.12,0.2,390.0,KO,20.0,0.0,3.456,78.0,-74.544
R030,2024-05-22,Rig09,323.0,1,18:24:58,4.72,68.43,0.73,0.06,0.09,411.0,KO,20.0,9.18,8.46,82.2,-64.56
R031,2024-05-22,Rig25,202.0,1,18:18:40,4.82,41.91,0.8000000000000002,0.09,-0.01,434.0,KO,20.0,40.752,4.41,86.8,-41.63799999999999
R032,2024-05-22,Rig10,269.0,1,18:25:32,4.71,57.11,0.76,0.16,0.14,391.0,KO,20.0,41.328,4.325,78.2,-32.547
R033,2024-05-22,Rig22,380.0,1,18:25:49,4.7,80.85,0.67,0.41,-0.01,414.0,KO,20.0,12.168,4.172,82.8,-66.46
R034,2024-05-22,Rig02,344.0,1,18:27:30,4.67,73.66,0.66,0.09,0.03,370.0,KO,20.0,13.464,6.18,74.0,-54.356
R035,2024-05-22,Rig24,377.0,1,18:25:50,4.7,80.21,0.99,0.09,0.01,325.0,KO,20.0,13.5,11.22,65.0,-40.28
R036,2024-05-22,Rig19,420.0,1,18:23:40,4.74,88.61,0.67,0.13,-0.01,370.0,KO,20.0,9.288,8.076,74.0,-56.636
R037,2024-05-22,Rig07,332.0,1,18:28:18,4.66,71.24,0.8699999999999999,0.01,0.02,407.0,KO,20.0,14.328,8.55,81.4,-58.522000000000006
R038,2024-05-22,Rig35,143.0,1,18:24:06,4.73,30.23,0.83,0.08,-0.1999999999999999,400.0,KO,20.0,7.272,3.85,80.0,-68.878
R039,2024-05-22,Rig18,251.0,1,18:23:43,4.73,53.07,0.78,0.12,0.13,391.0,KO,20.0,12.096,5.536,78.2,-60.568000000000005
R030,2024-05-23,Rig09,166.0,1,19:48:18,2.79,59.5,0.72,0.04,0.0999999999999999,414.0,KO,20.0,0.0,0.0,82.8,-82.8
R031,2024-05-23,Rig25,216.0,1,18:25:09,4.17,51.8,0.74,0.07,-0.2299999999999999,431.0,KO,20.0,0.0,0.0,86.2,-86.2
R032,2024-05-23,Rig10,208.0,1,18:30:44,4.08,50.98,0.78,0.12,0.1099999999999999,393.0,KO,20.0,0.0,0.0,78.6,-78.6
R033,2024-05-23,Rig22,589.0,1,18:29:55,4.09,144.01,0.51,0.55,0.1699999999999999,415.0,KO,20.0,0.0,0.0,83.0,-83.0
R034,2024-05-23,Rig02,285.0,1,18:31:47,4.06,70.2,0.64,0.1,0.05,375.0,KO,20.0,0.0,0.0,75.0,-75.0
R035,2024-05-23,Rig24,297.0,1,18:29:57,4.09,72.62,0.97,0.13,0.05,329.0,KO,20.0,0.0,0.0,65.8,-65.8
R036,2024-05-23,Rig19,200.0,1,18:30:02,4.09,48.9,0.68,0.16,0.0699999999999999,371.0,KO,20.0,0.0,0.0,74.2,-74.2
R037,2024-05-23,Rig07,246.0,1,18:31:33,4.07,60.44,0.85,0.02,0.13,407.0,KO,20.0,0.0,0.0,81.4,-81.4
R038,2024-05-23,Rig35,141.0,1,18:31:05,4.07,34.64,0.88,0.1199999999999999,-0.09,399.0,KO,20.0,0.0,0.0,79.8,-79.8
R039,2024-05-23,Rig18,208.0,1,18:30:01,4.09,50.86,0.8499999999999999,0.08,0.12,390.0,KO,20.0,0.0,0.0,78.0,-78.0
R030,2024-05-24,Rig09,388.0,1,18:32:30,3.76,103.19,0.63,0.46,-0.1,415.0,KO,20.0,9.072,4.955,83.0,-68.973
R030,2024-05-25,Rig09,227.0,1,18:47:12,3.72,61.02,0.6599999999999999,0.04,0.12,412.0,ER,20.0,8.748,5.48,82.4,-68.17200000000001
R030,2024-05-26,Rig09,267.0,1,18:39:21,3.66,72.95,0.71,0.09,-0.01,411.0,ER,20.0,10.44,6.445,82.2,-65.315
R031,2024-05-24,Rig25,197.0,1,18:26:29,3.86,51.04,0.74,0.06,-0.1,438.0,KO,20.0,41.364,4.11,87.6,-42.126
R031,2024-05-25,Rig25,215.0,1,18:45:14,3.76,57.18,0.75,0.1099999999999999,-0.14,427.0,ER,20.0,40.464,4.32,85.4,-40.61600000000001
R031,2024-05-26,Rig25,158.0,1,18:34:38,3.74,42.25,0.74,0.09,0.0,427.0,ER,20.0,19.224,3.18,85.4,-62.99600000000001
R032,2024-05-24,Rig10,180.0,1,18:32:59,3.76,47.87,0.8,0.15,0.15,397.0,KO,20.0,41.076,3.075,79.4,-35.249
R032,2024-05-25,Rig10,222.0,1,18:47:12,3.74,59.36,0.77,0.08,0.04,388.0,ER,20.0,41.004,3.925,77.6,-32.671
R032,2024-05-26,Rig10,214.0,1,18:39:01,3.68,58.15,0.7600000000000001,0.08,-0.02,388.0,ER,20.0,39.132,3.75,77.6,-34.718
