animal_id,date,rigid,n_done_trials,n_sessions,start_time,train_dur_hrs,trial_rate,hit_rate,viol_rate,side_bias,mass,tech,percent_target,pub_volume,rig_volume,volume_target,water_diff
R511,2023-09-29,Rig401,138.0,1,09:19:03,1.02,135.29,0.69,0.12,-0.27,23.86,ER,4.0,0.288,0.76,0.95,0.098
R512,2023-09-29,Rig402,147.0,1,09:19:02,1.02,144.12,0.51,0.1,-0.04,22.89,ER,4.0,0.0,1.173,0.92,0.253
R513,2023-09-29,,,0,,0.0,,,,,25.45,ER,4.0,1.107,0.0,1.02,0.0869999999999999
R511,2023-09-30,Rig401,156.0,1,13:26:37,1.11,140.54,0.86,0.1,-0.12,23.93,ER,4.0,0.168,0.887,0.96,0.0949999999999999
R511,2023-10-01,Rig401,160.0,1,13:09:45,1.14,140.35,0.86,0.12,-0.2099999999999999,23.93,,4.0,0.126,0.923,0.96,0.0889999999999999
R512,2023-09-30,Rig402,183.0,1,13:26:38,1.11,164.86,0.5,0.04,-0.1,23.11,ER,4.0,0.0,1.503,0.92,0.5829999999999999
R512,2023-10-01,Rig402,172.0,1,13:09:45,1.14,150.88,0.5,0.06,0.02,23.11,,4.0,0.0,1.4175,0.92,0.4974999999999999
R513,2023-09-30,Rig403,70.0,1,13:26:40,1.12,62.5,0.63,0.26,0.1099999999999999,25.39,ER,4.0,0.762,0.345,1.02,0.0869999999999999
R513,2023-10-01,Rig403,55.0,1,13:09:47,1.14,48.25,0.3,0.22,0.49,25.39,,4.0,0.993,0.115,1.02,0.088
R511,2023-10-02,Rig401,150.0,1,13:07:43,1.05,142.86,0.84,0.11,-0.1999999999999999,23.68,ER,4.0,0.093,0.962,0.95,0.1049999999999999
R512,2023-10-02,Rig402,151.0,1,13:07:44,1.05,143.81,0.52,0.07,-0.06,23.24,ER,4.0,0.0,1.281,0.93,0.3509999999999998
R513,2023-10-02,Rig403,56.0,1,13:07:45,1.05,53.33,0.38,0.14,-0.52,25.37,ER,4.0,0.924,0.18,1.01,0.094
R511,2023-10-03,Rig401,151.0,1,09:45:24,1.01,149.5,0.87,0.17,-0.14,24.0,MH,4.0,0.228,0.8218,0.96,0.0898000000000001
R511,2023-10-04,Rig401,140.0,1,09:33:30,1.0,140.0,0.89,0.19,-0.16,23.7,MH,4.0,0.258,0.793,0.95,0.1010000000000002
R512,2023-10-03,Rig402,148.0,1,09:45:24,1.0,148.0,0.52,0.09,-0.07,23.7,MH,4.0,0.0,1.212,0.95,0.262
R512,2023-10-04,Rig402,161.0,1,09:33:30,1.01,159.41,0.5,0.07,-0.1599999999999999,23.7,MH,4.0,0.0,1.287,0.95,0.3369999999999999
R513,2023-10-03,Rig403,48.0,1,09:45:26,1.0,48.0,0.24,0.31,-0.82,25.8,MH,4.0,1.02,0.08,1.03,0.07
R513,2023-10-04,Rig403,40.0,1,09:33:28,1.0,40.0,0.52,0.22,-0.27,25.3,MH,4.0,0.942,0.16,1.01,0.0919999999999998
R511,2023-10-05,,,0,,0.0,,,,,23.57,ER,4.0,1.056,0.0,0.94,0.1160000000000001
R511,2023-10-06,Rig401,157.0,1,08:58:05,1.02,153.92,0.8600000000000001,0.08,-0.1899999999999999,23.81,ER,4.0,0.057,0.995,0.95,0.102
R512,2023-10-05,Rig402,161.0,1,09:54:38,1.08,149.07,0.59,0.11,-0.02,23.56,ER,4.0,0.0,1.4415,0.94,0.5015000000000001
R512,2023-10-06,Rig402,150.0,1,08:58:05,1.02,147.06,0.54,0.14,-0.21,23.48,ER,4.0,0.0,1.209,0.94,0.2690000000000001
R513,2023-10-05,Rig403,47.0,1,09:54:41,1.08,43.52,0.53,0.36,-0.3,25.04,ER,4.0,0.846,0.255,1.0,0.1009999999999999
R513,2023-10-06,Rig403,38.0,1,08:58:10,1.01,37.62,0.6,0.47,-0.12,24.93,ER,4.0,0.852,0.18,1.0,0.032
R511,2023-10-07,Rig401,183.0,1,13:31:22,1.15,159.13,0.62,0.08,0.0,23.24,ER,4.0,0.213,0.8369,0.93,0.1199
R512,2023-10-07,Rig402,169.0,1,13:31:12,1.15,146.96,0.44,0.13,-0.2,23.15,ER,4.0,0.0,1.179,0.93,0.249
R513,2023-10-07,Rig403,79.0,1,13:31:25,1.15,68.7,0.51,0.28,0.1599999999999999,24.84,ER,4.0,0.648,0.45,0.99,0.1080000000000001
R511,2023-10-08,Rig401,165.0,1,12:47:03,1.01,163.37,0.47,0.16,-0.01,23.26,ER,4.0,0.504,0.543,0.93,0.1170000000000001
R512,2023-10-08,Rig402,150.0,1,12:47:06,1.01,148.51,0.51,0.04,-0.19,22.92,ER,4.0,0.0,1.245,0.92,0.325
R513,2023-10-08,Rig403,51.0,1,12:47:06,1.01,50.5,0.39,0.14,0.25,23.87,ER,4.0,0.024,0.255,0.95,-0.6709999999999999
R511,2023-10-09,Rig401,168.0,1,12:39:52,1.1,152.73,0.42,0.11,-0.06,23.48,ER,4.0,0.519,0.5308,0.94,0.1098000000000001
R511,2023-10-10,Rig401,150.0,1,09:48:11,1.01,148.51,0.5,0.09,-0.18,23.7,MH,4.0,0.441,0.6117,0.95,0.1027
R511,2023-10-11,Rig401,167.0,1,09:42:04,1.01,165.35,0.53,0.15,-0.16,23.6,MH,4.0,0.417,0.636,0.94,0.1129999999999999
R511,2023-10-12,Rig401,177.0,1,13:05:24,1.07,165.42,0.52,0.19,-0.07,23.41,ER,4.0,0.429,0.6235,0.94,0.1125
R511,2023-10-13,Rig401,155.0,1,08:12:02,1.02,151.96,0.4799999999999999,0.1,0.0,23.69,ER,4.0,0.477,0.5709,0.95,0.0978999999999998
R512,2023-10-09,Rig402,155.0,1,12:39:39,1.1,140.91,0.54,0.05,-0.13,22.94,ER,4.0,0.0,1.338,0.92,0.418
R512,2023-10-10,Rig402,151.0,1,09:48:12,1.01,149.5,0.59,0.07,0.0,23.2,MH,4.0,0.0,1.4115,0.93,0.4814999999999999
R512,2023-10-11,Rig402,160.0,1,09:42:04,1.01,158.42,0.53,0.09,-0.01,23.0,MH,4.0,0.0,1.3365,0.92,0.4165
R512,2023-10-12,Rig402,178.0,1,13:05:24,1.07,166.36,0.51,0.07,-0.1399999999999999,22.92,ER,4.0,0.0,1.503,0.92,0.5829999999999999
R512,2023-10-13,Rig402,136.0,1,08:12:02,1.02,133.33,0.44,0.43,-0.01,23.09,ER,4.0,0.426,0.6135,0.92,0.1195
R513,2023-10-09,Rig403,63.0,1,12:39:37,1.11,56.76,0.52,0.17,0.33,23.74,ER,4.0,0.648,0.405,0.95,0.1029999999999999
R513,2023-10-10,Rig403,78.0,1,09:48:10,1.01,77.23,0.47,0.18,0.48,23.6,MH,4.0,0.648,0.45,0.94,0.1580000000000001
R513,2023-10-11,Rig403,69.0,1,09:42:06,1.01,68.32,0.3,0.22,0.4999999999999999,23.4,MH,4.0,0.864,0.24,0.94,0.1640000000000001
R513,2023-10-12,Rig403,78.0,1,13:05:25,1.07,72.9,0.47,0.23,0.35,23.29,ER,4.0,0.684,0.42,0.93,0.174
R513,2023-10-13,Rig403,59.0,1,08:12:01,1.02,57.84,0.35,0.42,0.5800000000000001,23.27,ER,4.0,0.924,0.18,0.93,0.174
R511,2023-10-14,Rig401,162.0,1,13:30:10,1.2,135.0,0.58,0.18,-0.2099999999999999,23.83,ER,4.0,0.327,0.72,0.95,0.0969999999999999
R512,2023-10-14,Rig402,160.0,1,13:30:11,1.2,133.33,0.49,0.04,-0.19,23.29,ER,4.0,0.0,1.347,0.93,0.4169999999999999
R513,2023-10-14,Rig403,97.0,1,13:30:09,1.2,80.83,0.36,0.3899999999999999,0.7100000000000001,23.18,ER,4.0,0.792,0.315,0.93,0.1769999999999999
R511,2023-10-15,Rig401,133.0,1,12:27:11,1.14,116.67,0.54,0.05,-0.15,24.47,ER,4.0,0.414,0.632,0.98,0.066
R511,2023-10-16,Rig401,164.0,1,12:51:57,1.04,157.69,0.6,0.07,-0.08,23.86,ER,4.0,0.198,0.858,0.95,0.1060000000000001
R512,2023-10-15,Rig402,175.0,1,12:27:12,1.13,154.87,0.5,0.01,-0.1299999999999999,23.1,ER,4.0,0.0,1.512,0.92,0.592
R512,2023-10-16,Rig402,149.0,1,12:51:57,1.04,143.27,0.6,0.58,-0.07,22.99,ER,4.0,0.402,0.6375,0.92,0.1194999999999998
R513,2023-10-15,Rig403,46.0,1,12:27:13,1.13,40.71,0.27,0.2,0.78,23.4,ER,4.0,0.948,0.15,0.94,0.1579999999999999
R513,2023-10-16,Rig403,44.0,1,12:51:59,1.04,42.31,0.17,0.2,0.96,23.77,ER,4.0,1.008,0.09,0.95,0.1480000000000001
R511,2023-10-17,Rig401,133.0,1,09:48:39,1.02,130.39,0.54,0.16,-0.21,24.4,MH,4.0,0.507,0.5395,0.98,0.0665
R512,2023-10-17,Rig402,55.0,1,09:48:39,1.02,53.92,0.44,0.55,-0.6599999999999999,23.7,MH,4.0,0.846,0.1965,0.95,0.0925
R513,2023-10-17,Rig403,58.0,1,09:48:37,1.02,56.86,0.57,0.1599999999999999,0.47,23.6,MH,4.0,0.684,0.42,0.94,0.1640000000000001
R511,2023-10-18,Rig401,165.0,1,09:42:32,1.01,163.37,0.51,0.09,-0.29,24.0,MH,4.0,0.3,0.749,0.96,0.08899999999999997
R511,2023-10-19,Rig401,147.0,1,08:40:48,1.0,147.0,0.58,0.07,-0.040000000000000036,23.82,ER,4.0,0.306,0.7465,0.95,0.10250000000000004
R512,2023-10-18,,,0,,0.0,,,,,23.4,MH,4.0,1.044,0.0,0.94,0.10400000000000009
