animal_id,date,rigid,n_done_trials,n_sessions,start_time,train_dur_hrs,trial_rate,hit_rate,viol_rate,side_bias,mass,tech,percent_target,pub_volume,rig_volume,volume_target,water_diff
R012,2024-05-08,Rig22,154.0,1,12:03:45,2.01,76.62,0.67,0.05,-0.0599999999999999,474.0,KO,0.0,0.0,2.979,14.22,-11.241
R012,2024-05-09,Rig22,169.0,1,12:34:58,1.76,96.02,0.63,0.04,0.02,471.0,KO,0.0,0.0,3.081,14.13,-11.049
R010,2024-05-10,Rig18,93.0,1,12:10:26,2.1,44.29,0.77,0.11,0.13,465.0,KO,0.0,0.0,2.88,13.95,-11.07
R010,2024-05-11,Rig18,98.0,1,11:30:19,2.02,48.51,0.81,0.08,0.0699999999999999,464.0,AB,20.0,6.228,3.285,92.8,-83.28699999999999
R010,2024-05-12,Rig18,143.0,1,11:16:12,2.25,63.56,0.86,0.11,0.09,453.0,AB,20.0,10.836,4.905,90.6,-74.859
R010,2024-05-13,Rig18,141.0,1,11:22:43,2.25,62.67,0.96,0.13,0.0599999999999999,456.0,ER,20.0,9.144,5.355,91.2,-76.70100000000001
R011,2024-05-10,Rig19,162.0,1,12:10:28,2.1,77.14,0.7,0.08,0.25,507.0,KO,0.0,0.0,3.675,15.21,-11.535
R011,2024-05-11,Rig19,143.0,1,11:30:20,2.02,70.79,0.69,0.07,0.23,507.0,AB,20.0,2.736,3.22,101.4,-95.444
R011,2024-05-12,Rig19,252.0,1,11:19:10,2.2,114.55,0.68,0.04,0.17,495.0,AB,20.0,7.488,5.74,99.0,-85.77199999999999
R011,2024-05-13,Rig19,274.0,1,11:22:43,2.26,121.24,0.73,0.0299999999999999,0.1799999999999999,491.0,ER,20.0,10.152,6.79,98.2,-81.25800000000001
R012,2024-05-10,Rig22,214.0,1,12:10:36,2.12,100.94,0.64,0.04,-0.07,468.0,KO,0.0,0.0,3.996,14.04,-10.044
R012,2024-05-11,Rig22,198.0,1,11:34:40,1.95,101.54,0.72,0.04,0.02,470.0,AB,20.0,6.3,4.071,94.0,-83.629
R012,2024-05-12,Rig22,274.0,1,11:19:02,2.21,123.98,0.64,0.04,-0.2099999999999999,463.0,AB,20.0,10.692,5.136,92.6,-76.77199999999999
R012,2024-05-13,Rig22,283.0,1,11:24:23,2.25,125.78,0.65,0.04,-0.17,462.0,ER,20.0,13.968,5.421,92.4,-73.01100000000001
R010,2024-05-14,Rig21,130.0,2,11:58:32,1.99,65.33,0.7232307692307692,0.16230769230769232,-0.09261538461538468,454.0,KO,20.0,8.964,0.0,90.8,-81.836
R011,2024-05-14,Rig19,225.0,1,11:58:27,2.02,111.39,0.7,0.05,0.20999999999999996,492.0,KO,20.0,10.08,5.25,98.4,-83.07000000000001
R012,2024-05-14,Rig22,252.0,1,12:11:26,2.1,120.0,0.65,0.05,-0.15000000000000002,466.0,KO,20.0,13.068,4.707,93.2,-75.42500000000001
