animal_id,date,rigid,n_done_trials,n_sessions,start_time,train_dur_hrs,trial_rate,hit_rate,viol_rate,side_bias,mass,tech,percent_target,pub_volume,rig_volume,volume_target,water_diff
R013,2024-02-03,Rig35,104.0,1,11:25:38,2.23,46.64,0.81,0.05,0.19,460.0,AB,0.0,0.0,4.18,13.8,-9.62
R014,2024-02-03,Rig06,136.0,1,11:27:13,2.22,61.26,0.8,0.07,-0.0599999999999999,508.0,AB,0.0,0.0,4.386,15.24,-10.854
R015,2024-02-03,Rig24,128.0,1,11:27:05,2.22,57.66,0.88,0.13,0.0999999999999999,455.0,AB,0.0,0.0,3.43,13.65,-10.22
R013,2024-02-04,Rig35,129.0,1,11:28:15,2.16,59.72,0.82,0.07,0.02,463.0,AB,0.0,0.0,5.18,13.89,-8.71
R013,2024-02-05,Rig35,125.0,1,11:25:02,2.07,60.39,0.86,0.07,0.06,460.0,ER,0.0,0.0,5.215,13.8,-8.585
R014,2024-02-04,Rig06,132.0,1,11:29:29,2.15,61.4,0.76,0.11,-0.28,508.0,AB,0.0,0.0,3.827,15.24,-11.413
R014,2024-02-05,Rig06,150.0,1,11:21:42,2.14,70.09,0.83,0.07,-0.1799999999999999,507.0,ER,0.0,0.0,4.988,15.21,-10.222
R015,2024-02-04,Rig24,162.0,1,11:29:40,2.16,75.0,0.8399999999999999,0.14,0.0,449.0,AB,0.0,0.0,4.095,13.47,-9.375
R015,2024-02-05,Rig24,175.0,1,11:20:52,2.15,81.4,0.88,0.06,0.05,454.0,ER,0.0,0.0,5.04,13.62,-8.579999999999998
R013,2024-02-06,Rig35,168.0,1,12:02:19,2.19,76.71,0.8499999999999999,0.12,-0.06,459.0,KO,0.0,0.0,6.58,13.77,-7.19
R014,2024-02-06,Rig06,141.0,1,12:01:25,2.19,64.38,0.76,0.07,-0.2999999999999999,509.0,KO,0.0,0.0,4.3,15.27,-10.97
R015,2024-02-06,Rig24,233.0,1,12:03:52,2.19,106.39,0.81,0.11,0.1099999999999999,452.0,KO,0.0,0.0,5.88,13.56,-7.680000000000001
R013,2024-02-07,Rig35,102.0,1,11:42:26,2.36,43.22,0.87,0.16,-0.15,460.0,KO,0.0,0.0,3.985,13.8,-9.815
R014,2024-02-07,Rig06,133.0,1,11:41:25,2.37,56.12,0.85,0.05,-0.04,510.0,KO,0.0,0.0,4.687,15.3,-10.613
R015,2024-02-07,Rig24,146.0,1,11:42:03,2.39,61.09,0.79,0.16,0.0999999999999999,457.0,KO,0.0,0.0,3.395,13.71,-10.315
