animal_id,date,rigid,n_done_trials,n_sessions,start_time,train_dur_hrs,trial_rate,hit_rate,viol_rate,side_bias,mass,tech,percent_target,pub_volume,rig_volume,volume_target,water_diff
R621,2023-10-21,Rig402,102.0,1,10:14:49,1.28,79.69,0.67,0.94,-0.49,17.81,ER,4.0,0.741,0.0387,0.71,0.0696999999999999
R621,2023-10-22,Rig402,121.0,1,10:40:59,1.04,116.35,0.35,0.16,-0.38,17.75,ER,4.0,0.366,0.4185,0.71,0.0745
R621,2023-10-23,Rig402,143.0,1,10:04:39,1.07,133.64,0.42,0.23,-0.43,17.78,ER,4.0,0.258,0.5193,0.71,0.0673
R622,2023-10-21,Rig405,181.0,1,10:14:45,1.27,142.52,0.45,0.08,0.29,19.38,ER,4.0,0.0,0.814,0.78,0.0339999999999999
R622,2023-10-22,Rig405,154.0,1,10:40:55,1.05,146.67,0.43,0.09,0.43,19.39,ER,4.0,0.165,0.648,0.78,0.033
R622,2023-10-23,Rig405,152.0,1,10:04:35,1.07,142.06,0.43,0.1099999999999999,0.63,19.56,ER,4.0,0.192,0.627,0.78,0.0389999999999999
R623,2023-10-21,Rig404,207.0,1,10:14:48,1.27,162.99,0.47,0.15,0.2799999999999999,17.99,ER,4.0,0.0,0.747,0.72,0.027
R623,2023-10-22,Rig404,169.0,1,10:40:59,1.04,162.5,0.44,0.08,0.3399999999999999,17.82,ER,4.0,0.156,0.5845,0.71,0.0305
R623,2023-10-23,Rig404,162.0,1,10:04:38,1.07,151.4,0.4799999999999999,0.1199999999999999,0.36,17.92,ER,4.0,0.132,0.616,0.72,0.028
R624,2023-10-21,Rig406,172.0,1,10:14:46,1.28,134.38,0.42,0.12,0.3399999999999999,17.92,ER,4.0,0.06,0.679,0.72,0.0190000000000001
R624,2023-10-22,Rig406,155.0,1,10:40:56,1.04,149.04,0.45,0.17,0.36,17.7,ER,4.0,0.132,0.614,0.71,0.036
R624,2023-10-23,Rig406,173.0,1,10:04:35,1.07,161.68,0.59,0.2,0.13,17.7,ER,4.0,0.0,0.7843,0.71,0.0743
R621,2023-10-24,Rig402,116.0,1,07:29:35,1.02,113.73,0.41,0.24,-0.53,17.7,MH,4.0,0.378,0.3969,0.71,0.0648999999999999
R622,2023-10-24,Rig405,139.0,1,07:29:36,1.02,136.27,0.46,0.09,0.37,19.5,MH,4.0,0.195,0.617,0.78,0.032
R623,2023-10-24,Rig404,170.0,1,07:29:36,1.02,166.67,0.45,0.14,0.3199999999999999,17.8,MH,4.0,0.132,0.6085,0.71,0.0305
