mass,weighing,date,ratname,tech,timeval
22.63,1084194,2022-08-09,R501,JL,0 days 09:06:38
24.88,1084208,2022-08-09,Y502,JL,0 days 11:28:27
20.48,1084209,2022-08-09,Y501,JL,0 days 11:30:14
22.61,1084392,2022-08-10,R501,JL,0 days 08:40:44
25.06,1084409,2022-08-10,Y502,JL,0 days 11:02:16
20.48,1084411,2022-08-10,Y501,JL,0 days 11:03:34
22.30,1084577,2022-08-11,R501,JL,0 days 08:22:55
24.91,1084604,2022-08-11,Y502,JL,0 days 10:39:19
20.29,1084606,2022-08-11,Y501,JL,0 days 10:40:41
22.24,1084797,2022-08-12,R501,JL,0 days 08:38:26
20.47,1084812,2022-08-12,Y501,JL,0 days 11:04:16
24.81,1084813,2022-08-12,Y502,JL,0 days 11:05:24
22.18,1084976,2022-08-13,R501,ER,0 days 08:08:17
24.55,1085004,2022-08-13,Y502,ER,0 days 10:35:57
20.78,1085006,2022-08-13,Y501,ER,0 days 10:37:55
22.31,1085173,2022-08-14,R501,ER,0 days 08:36:56
20.90,1085198,2022-08-14,Y501,ER,0 days 11:07:33
24.81,1085199,2022-08-14,Y502,ER,0 days 11:08:20
25.14,1085388,2022-08-15,Y502,JB,0 days 09:15:12
21.11,1085390,2022-08-15,Y501,JB,0 days 09:17:37
22.46,1085393,2022-08-15,R501,JB,0 days 09:26:00
22.66,1085583,2022-08-16,R501,JL,0 days 08:23:20
21.02,1085596,2022-08-16,Y501,JL,0 days 10:48:23
24.39,1085599,2022-08-16,Y502,JL,0 days 10:50:33
22.32,1085780,2022-08-17,R501,JL,0 days 08:57:22
24.03,1085794,2022-08-17,Y502,JL,0 days 11:24:33
20.38,1085798,2022-08-17,Y501,JL,0 days 11:26:52
21.80,1085977,2022-08-18,R501,JL,0 days 09:11:35
23.90,1085983,2022-08-18,Y502,JL,0 days 11:33:14
19.71,1085988,2022-08-18,Y501,JL,0 days 11:36:00
21.34,1086180,2022-08-19,R501,JL,0 days 09:10:24
23.93,1086195,2022-08-19,Y502,JL,0 days 11:40:57
19.43,1086198,2022-08-19,Y501,JL,0 days 11:42:56
20.95,1086388,2022-08-20,R501,ER,0 days 09:09:21
23.82,1086395,2022-08-20,Y502,ER,0 days 11:44:05
19.24,1086396,2022-08-20,Y501,ER,0 days 11:45:15
20.73,1086560,2022-08-21,R501,ER,0 days 07:51:10
